Time,Type
22.8328125,3
22.84055556,3
22.8499537,3
22.85049769,3
22.850625,2
22.86168981,2
22.86436343,1
22.87072917,3
22.87134259,1
22.87228009,3
22.87997685,3
22.88407407,3
22.88428241,3
22.88546296,3
22.88594907,3
22.89579861,3
22.89834491,2
22.90241898,3
22.92606481,3
22.93174769,1
22.93283565,3
22.933125,3
22.93318287,3
22.93493056,3
22.93894676,3
22.94548611,3
22.94734954,3
22.94780093,2
22.94956019,3
22.9587037,1
22.96496528,3
22.96662037,1
22.96696759,1
22.96928241,3
23.01825231,3
23.02856481,1
23.02893519,1
23.02909722,3
23.03201389,3
23.03321759,1
23.03409722,3
23.04212963,3
23.04508102,3
23.05121528,3
23.05597222,3
23.05630787,2
23.05648148,2
23.05707176,3
23.05798611,3
23.0637037,2
23.07696759,4
23.07696759,4
23.07730324,3
23.07834491,2
23.08318287,3
23.08704861,1
23.08894676,3
23.09325231,3
23.09465278,3
23.10800926,3
23.10950231,1
23.11408565,3
23.1171875,3
23.12528935,1
23.13719907,3
23.13894676,3
23.14224537,2
23.15493056,1
23.15841435,2
23.16064815,3
23.17104167,2
23.17159722,3
23.17332176,3
23.18634259,1
23.18898148,3
23.1896412,3
23.19331019,3
23.19381944,3
23.19483796,3
23.1974537,3
23.20561343,3
23.21097222,1
23.21215278,1
23.21722222,1
23.2272338,1
23.22806713,3
23.23048611,1
23.2327662,3
23.24331019,1
23.24517361,3
23.25467593,2
23.25561343,2
23.25763889,3
23.25765046,2
23.26149306,3
23.27037037,3
23.27547454,2
23.28016204,2
23.28021991,2
23.29219907,3
23.2990625,2
23.29951389,3
23.30045139,2
23.30243056,2
23.30961806,2
23.30976852,3
23.32228009,3
23.33385417,2
23.33425926,1
23.34194444,2
23.3509838,2
23.35193287,3
23.35287037,1
23.35607639,3
23.3584838,3
23.36079861,3
23.37268519,2
23.39375,3
23.39438657,2
23.39474537,1
23.39789352,3
23.39888889,3
23.40232639,2
23.40253472,2
23.40253472,3
23.41295139,2
23.41311343,3
23.42453704,3
23.42842593,3
23.43774306,3
23.43894676,3
23.44207176,1
23.443125,3
23.44571759,2
23.44878472,3
23.45396991,2
23.46453704,3
23.46459491,3
23.46597222,3
23.46612269,3
23.46758102,3
23.46877315,3
23.46887731,3
23.4697338,3
23.46975694,3
23.47008102,3
23.47083333,3
23.47143519,3
23.47148148,2
23.47304398,3
23.47320602,3
23.47342593,3
23.47574074,3
23.47679398,3
23.47741898,3
23.47744213,3
23.4775463,3
23.47831019,3
23.47832176,3
23.47898148,3
23.48262731,3
23.48291667,3
23.48577546,3
23.48688657,3
23.48894676,2
23.49033565,3
23.49590278,3
23.49945602,1
23.49981481,1
23.50383102,2
23.50663194,2
23.52063657,1
23.52142361,3
23.52991898,1
23.5384375,3
23.53859954,3
23.54193287,3
23.54519676,1
23.90607639,3
23.91012731,3
23.92314815,3
23.93938657,3
23.9450463,3
23.94851852,3
23.95664352,3
23.96226852,2
23.96238426,3
23.96672454,3
23.9669213,1
23.98287037,3
23.98289352,3
23.98596065,3
24.00081019,3
24.00092593,3
24.0052662,3
24.0078588,3
24.01387731,3
24.02907407,1
24.06155093,3
24.06603009,1
24.06646991,3
24.08074074,3
24.09354167,3
24.09415509,1
24.12193287,3
24.12407407,3
24.12777778,2
24.13315972,3
24.13424769,2
24.14792824,1
24.16888889,3
24.17228009,2
24.18001157,2
24.18425926,3
24.19123843,3
24.1974537,1
24.20630787,3
24.20630787,3
24.20791667,2
24.21184028,3
24.2122338,3
24.2124537,2
24.22443287,1
24.22671296,2
24.22774306,3
24.23859954,3
24.2465625,2
24.25034722,3
24.28574074,1
24.28894676,2
24.29290509,3
24.2940162,2
24.2958912,4
24.30197917,1
24.30844907,2
24.31079861,3
24.31325231,1
24.31354167,3
24.33708333,1
24.35138889,3
24.3552662,3
24.36013889,2
24.36105324,3
24.36538194,3
24.37289352,3
24.37883102,1
24.38137731,1
24.38671296,3
24.39585648,3
24.40238426,1
24.40561343,2
